"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"138","G11.T6.R4_L3",16.664,0.7151,0.0413,"G11.T6.R4","L3","R4","Control","East-2","Eastern"
"139","G12.T1.R1_L3",33.6774,3.2209,0.2449,"G12.T1.R1","L3","R1","Alternaria","West-5","Western"
"140","G12.T1.R2_L1",14.1787,1.8675,0.0669,"G12.T1.R2","L1","R2","Alternaria","West-5","Western"
"141","G12.T1.R2_L3",23.4909,3.6093,0.1676,"G12.T1.R2","L3","R2","Alternaria","West-5","Western"
"142","G12.T1.R3_L1",12.0281,2.239,0.1825,"G12.T1.R3","L1","R3","Alternaria","West-5","Western"
"143","G12.T1.R3_L2",21.9223,3.4809,0.5025,"G12.T1.R3","L2","R3","Alternaria","West-5","Western"
"144","G12.T1.R3_L3",21.402,5.5235,0.1624,"G12.T1.R3","L3","R3","Alternaria","West-5","Western"
"145","G12.T2.R2_L1",50.7736,8.4645,0.3147,"G12.T2.R2","L1","R2","Cladosporium","West-5","Western"
"146","G12.T2.R2_L2",36.4356,8.595,0.111,"G12.T2.R2","L2","R2","Cladosporium","West-5","Western"
"147","G12.T2.R2_L3",30.4064,7.1727,0.289,"G12.T2.R2","L3","R2","Cladosporium","West-5","Western"
"148","G12.T2.R3_L1",36.5844,2.7814,0.1043,"G12.T2.R3","L1","R3","Cladosporium","West-5","Western"
"149","G12.T2.R3_L3",26.0898,6.6327,0.7389,"G12.T2.R3","L3","R3","Cladosporium","West-5","Western"
"150","G12.T2.R4_L1",14.155,3.4918,0.582,"G12.T2.R4","L1","R4","Cladosporium","West-5","Western"
"151","G12.T2.R4_L2",8.9327,0.0509,0.0025,"G12.T2.R4","L2","R4","Cladosporium","West-5","Western"
"152","G12.T2.R4_L3",13.8444,1.373,0.2024,"G12.T2.R4","L3","R4","Cladosporium","West-5","Western"
"153","G12.T3.R1_L1",28.8862,1.8846,0.0412,"G12.T3.R1","L1","R1","Fusarium","West-5","Western"
"154","G12.T3.R1_L2",46.9129,2.9785,0.0338,"G12.T3.R1","L2","R1","Fusarium","West-5","Western"
"155","G12.T3.R2_L1",17.4665,0.7288,0.0024,"G12.T3.R2","L1","R2","Fusarium","West-5","Western"
"156","G12.T3.R2_L2",27.3657,4.5622,0.1687,"G12.T3.R2","L2","R2","Fusarium","West-5","Western"
"157","G12.T3.R3_L1",34.0362,2.8658,0.3122,"G12.T3.R3","L1","R3","Fusarium","West-5","Western"
"158","G12.T3.R3_L2",22.417,5.9553,0.6567,"G12.T3.R3","L2","R3","Fusarium","West-5","Western"
"159","G12.T3.R3_L3",19.1749,5.6031,0.5477,"G12.T3.R3","L3","R3","Fusarium","West-5","Western"
"160","G12.T3.R4_L1",34.4588,5.0128,0.2041,"G12.T3.R4","L1","R4","Fusarium","West-5","Western"
"161","G12.T3.R4_L3",38.6241,3.8651,0.0996,"G12.T3.R4","L3","R4","Fusarium","West-5","Western"
"162","G12.T4.R1_L1",22.4671,4.892,0.5612,"G12.T4.R1","L1","R1","Aureobasidium","West-5","Western"
"163","G12.T4.R1_L2",33.0222,9.9828,2.7694,"G12.T4.R1","L2","R1","Aureobasidium","West-5","Western"
"164","G12.T4.R2_L1",32.4511,3.5047,0.1393,"G12.T4.R2","L1","R2","Aureobasidium","West-5","Western"
"165","G12.T4.R2_L2",23.1306,2.3757,0.1136,"G12.T4.R2","L2","R2","Aureobasidium","West-5","Western"
"166","G12.T4.R4_L1",44.3576,0.3566,0.0048,"G12.T4.R4","L1","R4","Aureobasidium","West-5","Western"
"167","G12.T4.R4_L2",73.3261,3.9434,0.2124,"G12.T4.R4","L2","R4","Aureobasidium","West-5","Western"
"168","G12.T4.R4_L3",41.0572,0.9181,0.0476,"G12.T4.R4","L3","R4","Aureobasidium","West-5","Western"
"169","G12.T5.R1_L1",50.7012,14.0674,2.0155,"G12.T5.R1","L1","R1","Dioszegia","West-5","Western"
"170","G12.T5.R1_L2",32.1446,5.8274,0.4972,"G12.T5.R1","L2","R1","Dioszegia","West-5","Western"
"171","G12.T5.R2_L1",55.592,3.6926,0.1124,"G12.T5.R2","L1","R2","Dioszegia","West-5","Western"
"172","G12.T5.R3_L2",44.623,5.9,0.2769,"G12.T5.R3","L2","R3","Dioszegia","West-5","Western"
"173","G12.T5.R4_L1",23.382,3.5082,0.5295,"G12.T5.R4","L1","R4","Dioszegia","West-5","Western"
"174","G12.T5.R4_L2",32.7468,7.9342,0.5987,"G12.T5.R4","L2","R4","Dioszegia","West-5","Western"
"175","G12.T5.R4_L3",10.4189,4.4001,0.5465,"G12.T5.R4","L3","R4","Dioszegia","West-5","Western"
"176","G12.T6.R1_L1",41.701,13.4868,1.991,"G12.T6.R1","L1","R1","Control","West-5","Western"
"177","G12.T6.R1_L3",24.1475,1.1821,0.0197,"G12.T6.R1","L3","R1","Control","West-5","Western"
"178","G12.T6.R2_L1",41.3075,19.8707,2.989,"G12.T6.R2","L1","R2","Control","West-5","Western"
"179","G12.T6.R4_L2",36.5989,13.9344,1.3554,"G12.T6.R4","L2","R4","Control","West-5","Western"
"180","G12.T6.R4_L3",23.9252,7.9552,0.4807,"G12.T6.R4","L3","R4","Control","West-5","Western"
"181","G2.T1.R1_L1",58.0525,0.1952,0,"G2.T1.R1","L1","R1","Alternaria","West-6","Western"
"182","G2.T1.R1_L2",41.2005,0.0225,0,"G2.T1.R1","L2","R1","Alternaria","West-6","Western"
"183","G2.T1.R2_L1",60.1608,0.072,0,"G2.T1.R2","L1","R2","Alternaria","West-6","Western"
"184","G2.T1.R2_L2",53.9076,0.5273,0,"G2.T1.R2","L2","R2","Alternaria","West-6","Western"
"185","G2.T1.R2_L3",54.8582,0.536,0,"G2.T1.R2","L3","R2","Alternaria","West-6","Western"
"186","G2.T1.R4_L1",55.6787,0.5995,0,"G2.T1.R4","L1","R4","Alternaria","West-6","Western"
"187","G2.T1.R4_L2",44.7657,0.5824,0,"G2.T1.R4","L2","R4","Alternaria","West-6","Western"
"188","G2.T1.R4_L3",64.0057,2.3388,0.009,"G2.T1.R4","L3","R4","Alternaria","West-6","Western"
"189","G2.T1.R5_L1",45.572,0.0503,0,"G2.T1.R5","L1","R5","Alternaria","West-6","Western"
"190","G2.T1.R5_L3",45.8445,0.4458,0.001,"G2.T1.R5","L3","R5","Alternaria","West-6","Western"
"191","G2.T2.R1_L1",65.3595,3.2062,0.0023,"G2.T2.R1","L1","R1","Cladosporium","West-6","Western"
"192","G2.T2.R1_L2",68.1084,2.6983,0.0117,"G2.T2.R1","L2","R1","Cladosporium","West-6","Western"
"193","G2.T2.R2_L1",62.5516,0.4923,0,"G2.T2.R2","L1","R2","Cladosporium","West-6","Western"
"194","G2.T2.R2_L2",36.0031,2.1995,0.052,"G2.T2.R2","L2","R2","Cladosporium","West-6","Western"
"195","G2.T2.R2_L3",42.0435,2.3077,0.0014,"G2.T2.R2","L3","R2","Cladosporium","West-6","Western"
"196","G2.T2.R4_L1",47.2479,0.0132,0,"G2.T2.R4","L1","R4","Cladosporium","West-6","Western"
"197","G2.T2.R4_L2",41.3682,0.1109,0,"G2.T2.R4","L2","R4","Cladosporium","West-6","Western"
"198","G2.T2.R4_L3",22.7136,0.2513,3e-04,"G2.T2.R4","L3","R4","Cladosporium","West-6","Western"
"199","G2.T2.R5_L1",94.3694,0.1279,0,"G2.T2.R5","L1","R5","Cladosporium","West-6","Western"
"200","G2.T3.R1_L1",81.395,0.7617,0,"G2.T3.R1","L1","R1","Fusarium","West-6","Western"
"201","G2.T3.R1_L2",59.5954,1.0149,2e-04,"G2.T3.R1","L2","R1","Fusarium","West-6","Western"
"202","G2.T3.R2_L1",56.244,2.3456,0.009,"G2.T3.R2","L1","R2","Fusarium","West-6","Western"
"203","G2.T3.R2_L2",73.0917,2.9673,0.0147,"G2.T3.R2","L2","R2","Fusarium","West-6","Western"
"204","G2.T3.R2_L3",69.2754,3.3521,0.0032,"G2.T3.R2","L3","R2","Fusarium","West-6","Western"
"205","G2.T3.R4_L2",75.4091,0.2937,5e-04,"G2.T3.R4","L2","R4","Fusarium","West-6","Western"
"206","G2.T3.R4_L3",84.0708,0.3326,0,"G2.T3.R4","L3","R4","Fusarium","West-6","Western"
"207","G2.T3.R5_L1",73.1082,0.1371,0,"G2.T3.R5","L1","R5","Fusarium","West-6","Western"
"208","G2.T3.R5_L2",64.5186,0.0352,0,"G2.T3.R5","L2","R5","Fusarium","West-6","Western"
"209","G2.T3.R5_L3",67.0286,0.111,0,"G2.T3.R5","L3","R5","Fusarium","West-6","Western"
"210","G2.T4.R2_L1",30.7984,1.5655,0.0084,"G2.T4.R2","L1","R2","Aureobasidium","West-6","Western"
